"PLU";"Name";"VAT";"Stock group";"PriceType";"Price";"Single Sale";"Turnover";"Sold Qty";"Stock Qty";"Barcode1";"Barcode2";"Barcode3";"Barcode4";
"109";"SO KUHINJSKA 5/1 TUZLA";"Ђ";"1";"1";"345.00";"0";"0";"0";"0";"0";"0";"0";"0";
"110";"KVASAC 125 C";"Ђ";"1";"1";"125.00";"0";"0";"0";"0";"0";"0";"0";"0";
"111";"KVASAC 10 C";"Ђ";"1";"1";"30.00";"0";"0";"0";"0";"0";"0";"0";"0";
"112";"STORM ZACIN 900";"Ђ";"1";"1";"230.00";"0";"0";"0";"0";"0";"0";"0";"0";
"113";"HORGOSKI ZACIN 250";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"114";"HORGOSKA PAPRIKA 125";"Ђ";"1";"1";"300.00";"0";"0";"0";"0";"0";"0";"0";"0";
"115";"HORGOSKA SUDZUK 75 LJUTA";"Ђ";"1";"1";"270.00";"0";"0";"0";"0";"0";"0";"0";"0";
"116";"HOR PAP+ ZACIN";"Ђ";"1";"1";"220.00";"0";"0";"0";"0";"0";"0";"0";"0";
"117";"LESKOVACKA SL PAPRIKA 100";"Ђ";"1";"1";"120.00";"0";"0";"0";"0";"0";"0";"0";"0";
"118";"ZACIN C 275";"Ђ";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"119";"MEGA ZACIN 250";"Ђ";"1";"1";"90.00";"0";"0";"0";"0";"0";"0";"0";"0";
"120";"PALENTA 450";"Ђ";"1";"1";"90.00";"0";"0";"0";"0";"0";"0";"0";"0";
"121";"KUKURUZNO BRASNO 450";"Е";"1";"1";"75.00";"0";"0";"0";"0";"0";"0";"0";"0";
"122";"FIDA 400 POSNA";"Ђ";"1";"1";"75.00";"0";"0";"0";"0";"0";"0";"0";"0";
"123";"MAKARONA 400 POSNA";"Ђ";"1";"1";"75.00";"0";"0";"0";"0";"0";"0";"0";"0";
"124";"MAKARONA 350";"Ђ";"1";"1";"65.00";"0";"0";"0";"0";"0";"0";"0";"0";
"125";"SPAGETE 400";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"126";"SUPA PILECA SA MESOM";"Ђ";"1";"1";"60.00";"0";"0";"0";"0";"0";"0";"0";"0";
"127";"SUPA GOVEDJA SA MESOM";"Ђ";"1";"1";"60.00";"0";"0";"0";"0";"0";"0";"0";"0";
"128";"SUPA PEVAC PODRAVKA";"Ђ";"1";"1";"60.00";"0";"0";"0";"0";"0";"0";"0";"0";
"129";"SUPA MAGI";"Ђ";"1";"1";"40.00";"0";"0";"0";"0";"0";"0";"0";"0";
"130";"KREM SUPA MLADOST";"Ђ";"1";"1";"35.00";"0";"0";"0";"0";"0";"0";"0";"0";
"131";"KOKOSJA SUPA MLADOST";"Ђ";"1";"1";"40.00";"0";"0";"0";"0";"0";"0";"0";"0";
"132";"KOCKA SUPA 4 KOM";"Ђ";"1";"1";"55.00";"0";"0";"0";"0";"0";"0";"0";"0";
"133";"NUDLE SPECIJAL INSTANT 5KOM";"Ђ";"1";"1";"170.00";"0";"0";"0";"0";"0";"0";"0";"0";
"134";"NUDLE CINIJA";"Ђ";"1";"1";"80.00";"0";"0";"0";"0";"0";"0";"0";"0";
"135";"OBLANDA 5/1";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"136";"KORE ZA TORTU";"Ђ";"1";"1";"490.00";"0";"0";"0";"0";"0";"0";"0";"0";
"137";"NISESTE 200";"Ђ";"1";"1";"65.00";"0";"0";"0";"0";"0";"0";"0";"0";
"138";"GRIZ 200";"Ђ";"1";"1";"65.00";"0";"0";"0";"0";"0";"0";"0";"0";
"139";"KAKAO UPRAHU 80";"Ђ";"1";"1";"125.00";"0";"0";"0";"0";"0";"0";"0";"0";
"140";"SECER U PRAHU 200";"Ђ";"1";"1";"80.00";"0";"0";"0";"0";"0";"0";"0";"0";
"141";"KOKOSOVO BRASNO 80";"Ђ";"1";"1";"60.00";"0";"0";"0";"0";"0";"0";"0";"0";
"142";"SUVO GROZDJE 80";"Ђ";"1";"1";"65.00";"0";"0";"0";"0";"0";"0";"0";"0";
"143";"SUSAM 80";"Ђ";"1";"1";"80.00";"0";"0";"0";"0";"0";"0";"0";"0";
"144";"DEBRECINER KOBASICA";"Ђ";"1";"1";"260.00";"0";"0";"0";"0";"0";"0";"0";"0";
"145";"LOVOROV LIST";"Ђ";"1";"1";"40.00";"0";"0";"0";"0";"0";"0";"0";"0";
"146";"KOKICAR 200";"Ђ";"1";"1";"75.00";"0";"0";"0";"0";"0";"0";"0";"0";
"147";"SODA B/B 500";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"148";"SODA B/B 20";"Ђ";"1";"1";"10.00";"0";"0";"0";"0";"0";"0";"0";"0";
"149";"PSENICA BELIJA 500";"Е";"1";"1";"75.00";"0";"0";"0";"0";"0";"0";"0";"0";
"150";"PIRINAC 900 KOCANSKI";"Е";"1";"1";"250.00";"0";"0";"0";"0";"0";"0";"0";"0";
"151";"PRASAK ZA PECIVO C";"Ђ";"1";"1";"16.00";"0";"0";"0";"0";"0";"0";"0";"0";
"152";"VANILIN SECER MLASOST";"Ђ";"1";"1";"10.00";"0";"0";"0";"0";"0";"0";"0";"0";
"153";"BIBER U ZRNU";"Ђ";"1";"1";"15.00";"0";"0";"0";"0";"0";"0";"0";"0";
"154";"BIBER MLEVENI";"Ђ";"1";"1";"15.00";"0";"0";"0";"0";"0";"0";"0";"0";
"155";"CIMET MLEVENI";"Ђ";"1";"1";"7.00";"0";"0";"0";"0";"0";"0";"0";"0";
"156";"ORIGANO";"Ђ";"1";"1";"6.00";"0";"0";"0";"0";"0";"0";"0";"0";
"157";"LIMONTUS";"Ђ";"1";"1";"12.00";"0";"0";"0";"0";"0";"0";"0";"0";
"158";"SALICIL";"Ђ";"1";"1";"25.00";"0";"0";"0";"0";"0";"0";"0";"0";
"159";"VINOBRAN";"Ђ";"1";"1";"10.00";"0";"0";"0";"0";"0";"0";"0";"0";
"160";"KONZERVANS";"Ђ";"1";"1";"8.00";"0";"0";"0";"0";"0";"0";"0";"0";
"161";"MOJA KRAVICA 1L";"Е";"1";"1";"165.00";"0";"0";"0";"0";"0";"0";"0";"0";
"162";"LESKOVACKO MIZZO MLEKO 1L";"Е";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"163";"COKOLADNO MLEKO 250";"Е";"1";"1";"70.00";"0";"0";"0";"0";"0";"0";"0";"0";
"164";"JOGURT 1L";"Е";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"165";"JOGURT 500";"Е";"1";"1";"90.00";"0";"0";"0";"0";"0";"0";"0";"0";
"166";"JOGURT 200";"Е";"1";"1";"35.00";"0";"0";"0";"0";"0";"0";"0";"0";
"167";"MLEKO ZDRAVO 1L";"Е";"1";"1";"135.00";"0";"0";"0";"0";"0";"0";"0";"0";
"168";"KISELA PAVLAKA 400";"Ђ";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"169";"KISELA PAVLAKA 200";"Ђ";"1";"1";"70.00";"0";"0";"0";"0";"0";"0";"0";"0";
"170";"KISELO MLEKO 400";"Е";"1";"1";"90.00";"0";"0";"0";"0";"0";"0";"0";"0";
"171";"KISELO MLEKO 200";"Е";"1";"1";"50.00";"0";"0";"0";"0";"0";"0";"0";"0";
"172";"VOCNI JOGURT 100";"Ђ";"1";"1";"50.00";"0";"0";"0";"0";"0";"0";"0";"0";
"173";"SIRKO 100";"Ђ";"1";"1";"120.00";"0";"0";"0";"0";"0";"0";"0";"0";
"174";"KACKAVALJ MILKOP";"Ђ";"1";"1";"1100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"175";"KACKAVALJ KUC";"Ђ";"1";"1";"1100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"176";"KACKAVALJ SORTA";"Ђ";"1";"1";"1100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"177";"HAJDY TOPLJENI SIR";"Ђ";"1";"1";"140.00";"0";"0";"0";"0";"0";"0";"0";"0";
"178";"YAYLA FETA 600";"Ђ";"1";"1";"600.00";"0";"0";"0";"0";"0";"0";"0";"0";
"179";"PIROTSKA KRISKA";"Ђ";"1";"1";"450.00";"0";"0";"0";"0";"0";"0";"0";"0";
"180";"TVRDI SIR KRISKA STARA PLANINA";"Ђ";"1";"1";"725.00";"0";"0";"0";"0";"0";"0";"0";"0";
"181";"SL PASULJ SA SUVIM REBRIMA 300";"Ђ";"1";"1";"250.00";"0";"0";"0";"0";"0";"0";"0";"0";
"182";"SL CUFTA U PARADAJZ SOSU 300";"Ђ";"1";"1";"300.00";"0";"0";"0";"0";"0";"0";"0";"0";
"183";"SL SVINJSKI PAPRIKAS 300";"Ђ";"1";"1";"300.00";"0";"0";"0";"0";"0";"0";"0";"0";
"184";"SL GOVEDJI GULAS 300";"Ђ";"1";"1";"350.00";"0";"0";"0";"0";"0";"0";"0";"0";
"185";"JAJA L KLASA";"Е";"1";"1";"15.00";"0";"0";"0";"0";"0";"0";"0";"0";
"186";"MESNI NAREZAK STARI BEOGRAD 400";"Ђ";"1";"1";"185.00";"0";"0";"0";"0";"0";"0";"0";"0";
"187";"TURISTICKI NAREZAK 300";"Ђ";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"188";"ARIA NAREZAK SORTA";"Ђ";"1";"1";"85.00";"0";"0";"0";"0";"0";"0";"0";"0";
"189";"YUHOR MESNI NAREZAK 150";"Ђ";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"190";"GOVEDJI GULAS";"Ђ";"1";"1";"125.00";"0";"0";"0";"0";"0";"0";"0";"0";
"191";"CARNEX PASTETA JETRENA 150";"Ђ";"1";"1";"140.00";"0";"0";"0";"0";"0";"0";"0";"0";
"192";"CARNEX PASTETA JETRENA 75";"Ђ";"1";"1";"90.00";"0";"0";"0";"0";"0";"0";"0";"0";
